"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"4354","BORE WELL, SRI NOOKATATA TEMPLE
RAJAYYAPETA VILLAGE, NAKKAPALLI (M)","ANDHRA PRADESH","26","27","7.18","7.94","1444","12070","1.6","3.6","1.87","8.75","1.8","1.8","3","3","956","7932","0.36","0.92","",""
"4355","BORE WELL, CHIPPADA (V),
BHEEMUNIPATNAM (M)","ANDHRA PRADESH","26","26","6.69","6.9","790","906","2","2.3","6.97","8.51","1.8","1.8","3","3","516","620","0.2","0.97","0.00049","0.00049"
"4360","BORE WELL AT IDA, RAMANAYYAPETA,
KAKINADA TOWN","ANDHRA PRADESH","27","28","7.76","7.9","960","1057","1.1","2.1","5.58","6.44","1.8","1.8","3","3","624","772","0.21","0.28","0.004","0.004"
"4364","BORE WALL AT RAJIV GRUHAKALAPA,
NEAR AP PAPER MILLS WORKERS
COLONY, MALLAYYAPETA, KATHERU,
RAJAMAHENDRAVARAM","ANDHRA PRADESH","27","29","7.31","7.56","1007","1062","1.3","3.8","0.41","0.56","1.8","1.8","3","3","604","712","0.2","0.46","0.001","0.001"
"4376","BOREWELL WATER , APIIC OFFICE, IDA
KONDAPALLI, KONDAPALLI (V),
IBRAHIMPATNAM (M)","ANDHRA PRADESH","22","28","7.29","7.34","7700","7840","2.5","2.6","3.39","3.67","3","4","9","11","4600","4740","0.64","0.69","0.00049","0.00049"
"4377","BOREWELL AT IMITATION JEWELLARY
PARK, MACHILIPTNAM TOWN","ANDHRA PRADESH","26","28","8.06","8.1","7320","9400","2.4","2.7","3.3","4.59","3","4","9","11","4390","5820","0.76","0.87","0.00049","0.00049"
"4380","BOREWELL WATER , SRI VENKATESWARA
SWAMY TEMPLE, VENKATA PALEM (V),
TULLUR (M)","ANDHRA PRADESH","22","31","7.19","7.48","758","760","1.6","1.8","0.85","0.9","3","3","9","9","440","448","0.56","0.59","0.00049","0.00049"
"4382","BOREWELL AT PEDAKAKANI POLICE
STATION, AUTONAGAR, PEDAKAKANI (V
& M)","ANDHRA PRADESH","24","29","7.51","7.58","4210","4326","2.2","2.3","5.1","5.41","3","4","14","15","2520","2608","0.63","0.69","0.00049","0.00049"
"4384","BOREWELL IN FRONT OF M/S
BHAGEERADHA CHEMICALS &
INDUSTRIES LTD,
CHERUVUKOMMUPALEM (V),
ONGOLE (M)","ANDHRA PRADESH","23","27","7.7","7.86","8943","9140","2.6","2.9","9.6","10.17","3","7","11","15","5372","5480","0.73","0.76","0.00049","0.00049"
"4392","BOREWELL NEAR SRI GOVINDARAJA
SWAMY TEMPLE, TIRUPATI TOWN","ANDHRA PRADESH","26","28","7","7.3","883","1060","1","1","4.41","9.65","1.8","1.8","5","5","461","604","0.75","0.81","",""
