"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
"1693","RIVER BEAS AT TALWARA H/W, PUNJAB","PUNJAB","7","40","7.8","8.4","7.3","7.8","191","260","1.0","1.3","0.30","0.72","17","33","70","120","",""
"30084","RIVER BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)","PUNJAB","16","28","7.0","9.8","7.8","8.2","199","255","1.0","3.0","0.32","1.19","490","11000","490","35000","490","2300"
"1010","RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR","PUNJAB","7","43","7.5","8.1","7.4","8.0","240","363","1.2","1.4","0.30","0.84","26","70","110","220","",""
"1694","RIVER BEAS AT U/S PATHANKOT, PUNJAB","PUNJAB","7","42","7.6","8.2","7.4","8.1","242","325","1.1","1.4","0.30","0.94","31","94","120","260","",""
"1695","RIVER BEAS D/S PATHANKOT, PUNJAB","PUNJAB","7","42","7.4","7.9","7.3","8.1","243","298","1.0","1.3","0.30","0.84","58","110","170","280","",""
"1294","RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT
MUKERIAN , PUNJAB","PUNJAB","11","27","7.6","8.6","7.4","8.0","244","332","1.0","1.6","0.31","0.94","110","210","280","460","",""
"4164","RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL
BATALA, GURDASPUR","PUNJAB","11","27","7.5","8.5","7.3","8.0","226","282","1.0","1.4","0.30","0.84","70","210","220","400","",""
"1011","RIVER BEAS AT G.T.ROAD UNDER BDG. NEAR
KAPURTHALA","PUNJAB","11","27","7.4","8.5","5.0","7.8","215","268","1.2","1.6","0.30","0.94","110","170","280","340","",""
"1696","RIVER BEAS U/S GOINDWAL, PUNJAB","PUNJAB","11","28","8.1","8.9","7.4","8.0","214","255","1.0","1.3","0.30","0.76","78","120","250","320","",""
"1012","RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL","PUNJAB","11","27","7.7","8.9","7.6","8.0","215","265","1.1","1.4","0.30","0.92","110","140","260","380","",""
"5504","River Beas at Karmowala village","PUNJAB","18","18","8.5","8.5","7.3","7.3","266","266","1.4","1.4","0.65","0.65","140","140","470","470","",""
"5505","River Beas at Chamba Kalan","PUNJAB","18","18","8.6","8.6","7.3","7.3","252","252","1.3","1.3","0.62","0.62","110","110","260","260","",""
