"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"5666","Dhakte (Diuler) tollem","LAKE","GOA","29","29","7.1","7.1","6.8","6.8","1224","1224","1.1","1.1","0.32","0.32","230","230","330","330","79","79"
"5667","Karmale Lake","LAKE","GOA","27","30","4.3","7.3","5.3","7.0","51","8547","1.0","1.9","0.32","0.32","230","4900","470","7000","110","460"
"1343","KANKORIA LAKE AT
AHMEDABAD, NR. BALVATIKA,","LAKE","GUJARAT","26","32","3.4","8.7","7.6","9.8","2268","3508","8.0","34.0","0.37","1.15","1600","1600","1600","1600","",""
"1344","CHANDOLA LAKE AT
AHMEDABAD,","LAKE","GUJARAT","28","29","6.5","6.5","7.3","7.8","366","490","1.3","1.5","0.33","0.50","130","350","540","920","",""
"1345","AJWAH LAKE AT SRI SAYAJI
SABVAR, BARODA,","LAKE","GUJARAT","26","29","7.0","7.8","7.6","8.6","207","420","1.0","1.0","0.32","0.44","2","4","6","26","",""
"1346","SURSAGAR LAKE AT BARODA,","LAKE","GUJARAT","26","30","6.1","7.1","8.0","8.5","424","850","1.0","6.8","1.13","2.28","26","140","300","900","",""
"1971","THOL LAKE (KALOL) (DIST.
MEHASANA)THOL POND, VILL:
THOL, TAL -KADI, DIST :
MEHSANA","LAKE","GUJARAT","25","32","4.1","7.8","7.0","8.3","983","2538","1.6","28.0","0.32","1.50","21","350","120","920","2","2"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1972","NALSAROVAR LAKE (SANAND),
DIST.AHMEDABADNALSAROVAR
LAKE (SANAND),
DIST.AHMEDABAD","LAKE","GUJARAT","26","31","2.8","7.4","7.2","9.0","1761","7197","1.0","15.0","0.32","1.17","6","170","110","540","",""
"1973","BINDUSAROVAR, SIDDHPUR
(DIST.PATAN)BINDU SAROVAR,
AHMEDABAD- PALANUR
HIGHWAY, SIDDHPUR, DIST-
PATAN","LAKE","GUJARAT","25","28","5.3","7.7","6.8","9.3","1798","2400","1.0","1.5","0.36","1.72","2","110","2","350","",""
"1975","LAKHOTA TALAV,
JAMNAGARLAKHOTA LAKE,
NEAR PANCHESHWAR TOWER,
JAMNAGAR","LAKE","GUJARAT","24","33","4.3","4.8","7.3","7.9","320","1225","1.3","1.7","0.32","0.32","2","6","4","20","",""
"1977","CITY LAKE OF NADIADKHETA
TALAV (CITY LAKE) ,NADIAD,
DIST:KHEDA","LAKE","GUJARAT","20","32","5.0","7.1","7.6","8.5","394","1660","1.0","2.8","1.08","1.98","30","1600","300","1600","",""
"2077","MOTICHER LAKE NEAR
KAKARPAR ATOMIC POWER
STATION, DIST. SURAT.NEAR
BRIDGE, MOTICHER,SURAT","LAKE","GUJARAT","27","32","7.1","7.7","7.5","8.5","358","443","1.0","1.0","0.30","0.34","2","2","4","23","2","2"
"2078","KUWADAVA LAKE, NR. KUVADVA
GIDC, NH-8-B, VILL. KUWADAVA,
DIST. RAJKOT.KUVADVA LAKE,
VILLAGE KUVADVA, DIST.
RAJKOT","LAKE","GUJARAT","26","29","6.4","6.9","7.2","7.7","308","1690","1.8","2.3","0.32","0.35","5","26","14","79","",""
"3198","GOMTI LAKE, OPP, RANCHODAJI
TEMPLE, DAKOR, KHEDAGOMTI
LAKE, OPP: RANCHODAJI
TEMPLE, DAKOR, KHEDA","LAKE","GUJARAT","22","32","3.3","6.7","6.9","8.2","218","527","1.0","2.2","0.32","0.63","50","900","300","1600","2","2"
"3199","HAMISAR TALAV, BHUJPATVADI
NAKU,NEAR ASHAPURA
TEMPLE,TA:BHUJ,DIST:KUTCH(W
EST)","LAKE","GUJARAT","24","29","5.5","6.3","7.2","8.2","360","940","2.2","2.8","0.33","0.42","2","5","2","24","",""
"3200","MOONSAR LAKE OF
VIRAMGAMVIRAMGAM","LAKE","GUJARAT","26","32","0.3","7.7","7.4","9.6","1981","20710","1.6","43.0","0.44","1.02","47","540","","","",""
"3201","MALAV TALAV, DHOLKA DHOLKA","LAKE","GUJARAT","26","32","5.1","8.0","7.7","9.8","2262","4349","1.0","24.0","0.32","1.44","2","350","2","920","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3202","VHERAIMATA TALAV AT
ANANDVHERAI MATA TALAV ,
OPP. VHERAI MATA
MANDIR,ANAND TA. & DIST.
ANAND","LAKE","GUJARAT","26","29","6.7","6.9","7.8","8.6","220","874","1.0","1.3","0.36","0.42","26","50","300","900","",""
"1979","OLPAD, VILLAGE POND:OLPAD,
SURATNEAR ROAD, NEAR
TEMPLE, OLPAD,SURAT","POND","GUJARAT","24","31","1.1","7.7","7.3","8.5","409","730","1.0","2.6","0.30","0.73","6","33","25","120","2","6"
"2079","DHUDHIA TALAV AT NAVSARI,
DIST. NAVSARI.AT- KAGADIWAD,
NAVSARI CITY, TA & DI. 
NAVSARI, GUJARAT.","POND","GUJARAT","28","30","7.0","8.4","7.3","8.5","335","880","1.0","1.8","0.34","0.37","2","25","26","120","",""
"1349","BRAHMSAROVAR LAKE AT
KURUKSHETRA","LAKE","HARYANA","","","6.4","8.1","6.9","7.8","226","1740","1.0","13.0","0.30","0.30","2","840","400","9300","2","330"
"1392","KAUSSHALAYA LAKE, PINJORE,
PANCHKULA","LAKE","HARYANA","","","5.0","7.9","7.0","8.5","250","658","1.0","3.6","0.30","0.30","100","500","400","800","2","2"
"3032","SULTANPUR LAKE, GURUGRAM","LAKE","HARYANA","14","34","5.9","6.8","7.2","7.7","1250","1510","15.0","21.0","0.30","5.20","720","1070","7600","9800","2","2"
"3033","SOHNA LAKE","LAKE","HARYANA","27","27","5.3","5.3","7.5","7.5","2540","2540","18.0","18.0","7.60","7.60","15000","15000","61000","61000","560","560"
"4857","SANHIT SAROVAR, KURUSHETRA","POND","HARYANA","","","6.2","7.9","5.6","7.9","229","492","1.0","4.0","0.30","0.30","100","100","400","600","2","2"
"1291","GOBINDSAGAR LAKE D/S OF
BILASPUR TOWN","LAKE","HIMACHAL PRADESH","8","26","7.2","8.4","7.3","8.5","116","270","1.0","1.8","0.32","1.37","79","220","430","920","2","2"
"1429","RENUKA LAKE AT RENUKA
SIRMAUR","LAKE","HIMACHAL PRADESH","15","24","6.0","7.6","7.5","8.4","442","941","1.0","1.8","0.64","0.90","32","110","220","540","2","2"
"2649","REWALSAR LAKE (TOWARDS
MELA GROUND)","LAKE","HIMACHAL PRADESH","8","33","7.1","8.5","7.1","8.4","182","712","1.0","2.2","0.32","2.14","70","920","540","1600","2","2"
"2650","KHAZIAR LAKE","LAKE","HIMACHAL PRADESH","6","12","6.1","9.1","7.0","8.2","40","358","1.0","3.5","0.30","3.18","17","1100","110","3500","2","2"
"5492","Chander Tal Lake, District Lahaul
& spiti (HP)","LAKE","HIMACHAL PRADESH","18","18","6.4","6.4","8.3","8.3","232","232","1.0","1.0","1.30","1.30","2","2","2","2","2","2"
"5486","Rookmani kund ,vill. Barsand
jhandutta","POND","HIMACHAL PRADESH","10","23","8.4","9.1","7.1","7.8","535","848","1.0","1.0","0.74","2.29","2","2","2","6","2","2"
"1309","DAL LAKE AT SRINAGAR","LAKE","JAMMU & KASHMIR","6","30","4.9","10.8","7.7","9.5","123","255","2.4","6.2","0.30","0.68","50","740","800","3200","",""
"2738","(MANSAR LAKE AT MID
POINT(MANSAR LAKE)","LAKE","JAMMU & KASHMIR","11","23","6.9","8.0","7.2","7.6","126","256","1.0","1.0","0.02","0.42","","","","","",""
"2739","MANSAR LAKE POINT OF
DISCHARGE OF WASTE WATER
FROM DIFFERENT
ESTABLISHMENTS NEAR NAG
TEMPLE","LAKE","JAMMU & KASHMIR","11","23","5.5","7.7","7.4","7.6","132","253","1.0","2.1","0.02","0.47","","","","","",""
"2740","(MANSAR LAKE AT MID
POINT(SURINSAR LAKE), J&K","LAKE","JAMMU & KASHMIR","8","24","3.7","6.5","7.4","8.5","132","226","1.2","2.4","0.03","5.20","","","","","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2741","SURINSAR LAKE POINT OF
DISCHARGE OF WASTE WATER
FROM DIFFERENT
ESTABLISHMENTS","LAKE","JAMMU & KASHMIR","8","24","3.6","6.0","7.4","8.5","130","242","1.6","4.7","0.03","2.34","","","","","",""
"3251","DAL LAKE AT DALGATE","LAKE","JAMMU & KASHMIR","6","29","3.0","8.6","7.1","8.1","153","291","3.9","8.9","0.30","0.54","73","800","1050","9000","",""
"3252","DAL LAKE AT CHAIRCHINARI","LAKE","JAMMU & KASHMIR","5","29","5.8","11.5","7.7","9.1","133","256","2.1","4.8","0.30","0.66","70","450","900","6500","",""
"3253","DAL LAKE NEAR NISHAT LAM","LAKE","JAMMU & KASHMIR","6","31","6.9","10.5","8.0","9.2","132","282","3.5","8.2","0.30","0.75","40","1200","1950","6500","",""
"3254","DAL LAKE AT ABIKARPORA","LAKE","JAMMU & KASHMIR","6","30","5.4","11.6","7.6","9.2","130","249","2.0","5.9","0.30","0.54","75","210","720","3200","",""
"3256","DAL LAKE AT ENTRY POINT OF
TALIBAL NALLAH","LAKE","JAMMU & KASHMIR","7","30","5.7","12.0","7.4","9.7","136","368","2.2","18.8","0.30","1.90","500","3240","3200","50000","",""
"3257","DAL LAKE AT HABAK","LAKE","JAMMU & KASHMIR","5","31","2.3","12.5","7.1","9.5","152","432","5.5","23.5","0.30","1.20","1000","6000","4000","95000","",""
"3258","DAL LAKE AT HAZRATBAL","LAKE","JAMMU & KASHMIR","5","31","5.0","13.5","7.4","9.2","186","416","4.5","15.8","0.30","1.36","2000","5000","4200","65000","",""
"3259","DAL LAKE AT DHOBIGHAT","LAKE","JAMMU & KASHMIR","5","31","6.0","11.4","7.5","9.1","172","399","3.4","13.7","0.30","0.89","1800","3000","3100","32000","",""
"3260","DAL LAKE AT SONALANK","LAKE","JAMMU & KASHMIR","5","30","7.0","13.7","7.5","9.6","132","397","3.0","6.0","0.30","0.69","54","36000","1700","500000","",""
"3261","DAL LAKE AT NISHAT, WATER
INTAKE POINT OF NISHAT
WATER TREATMENT PLANT","LAKE","JAMMU & KASHMIR","7","31","6.2","12.8","7.9","9.2","129","276","2.7","12.4","0.30","0.68","50","800","1130","12000","",""
"3262","DAL LAKE AT NIGEEN, WATER
INTAKE PT OF POKHRIBAL
WATER TREATMENT PLANT","LAKE","JAMMU & KASHMIR","5","31","6.6","11.9","7.5","9.3","174","356","2.8","9.5","0.30","0.38","60","2000","1100","6000","",""
"3263","WULAR LAKE AT NINGLI NALLAH","LAKE","JAMMU & KASHMIR","4","32","5.1","10.8","7.2","9.1","157","327","1.5","3.7","0.44","0.98","90","214","1160","2900","",""
"3264","WULAR LAKE AT WATLAB","LAKE","JAMMU & KASHMIR","4","32","6.0","10.3","7.3","8.5","128","329","1.5","3.2","0.30","0.87","42","940","1100","10000","",""
"3265","WULAR LAKE ATKANIBATH","LAKE","JAMMU & KASHMIR","6","30","6.7","10.3","7.2","9.3","142","344","2.0","5.7","0.30","1.61","1200","9200","3200","130000","",""
"3266","WULAR LAKE AT ENTRY PT OF
ERIN NALLAH","LAKE","JAMMU & KASHMIR","7","27","3.2","11.8","7.1","9.1","52","219","1.5","6.5","0.30","0.58","110","8200","2100","32000","",""
"4040","DAL AT ASHAIBAGH BRIDGE","LAKE","JAMMU & KASHMIR","5","31","6.0","11.1","4.5","9.1","172","360","3.0","7.6","0.30","0.70","75","1800","1500","7000","",""
"4041","DAL AT NAYADYAR","LAKE","JAMMU & KASHMIR","5","32","0.4","5.5","7.1","8.1","188","757","6.2","25.5","0.30","1.18","2000","8000","6000","70000","",""
"4042","DAL AT JOGILANKER","LAKE","JAMMU & KASHMIR","5","31","0.4","3.9","7.1","8.1","205","758","6.0","27.3","0.30","0.94","3000","10000","8200","1000000","",""
"4043","ANCHAR AT SINDH INFLOW","LAKE","JAMMU & KASHMIR","5","21","2.9","10.5","7.3","8.2","184","491","2.0","5.4","0.30","0.30","4000","38000","600000","820000","",""
"4044","ANCHAR AT CENTRAL SITE","LAKE","JAMMU & KASHMIR","6","22","1.6","9.2","7.2","8.0","225","498","2.4","5.9","0.42","0.42","12000","55000","450000","600000","",""
"4045","ANCHAR AT SANGAM","LAKE","JAMMU & KASHMIR","6","24","0.7","4.1","7.1","7.9","251","532","3.4","14.8","0.30","0.30","20000","70000","580000","800000","",""
"4046","ANCHAR NEAR LKIMS","LAKE","JAMMU & KASHMIR","6","24","0.3","4.8","7.1","7.8","270","522","5.0","13.5","0.30","0.30","3600","75000","680000","2700000","",""
"4047","ANCHAR AT JENAB SAHAB
SOURA","LAKE","JAMMU & KASHMIR","6","24","0.5","4.8","7.1","7.7","245","531","6.0","15.6","0.56","0.56","50000","90000","500000","750000","",""
"4048","WULAR AT SADERKOTE","LAKE","JAMMU & KASHMIR","5","28","6.0","11.0","7.4","10.1","133","250","2.2","4.6","0.30","0.51","100","1140","1700","1800","",""
"4049","WULAR AT ZALWAN","LAKE","JAMMU & KASHMIR","9","24","8.7","9.8","7.6","10.5","103","310","2.2","3.7","0.41","0.41","1100","1100","2900","2900","",""
"2394","TOP CHANCHI LAKE","LAKE","JHARKHAND","16","26","6.8","7.6","7.4","7.6","","","1.5","3.0","","","","","","","",""
"2398","DIMNA LAKE, DIMNA","LAKE","JHARKHAND","20","39","6.5","8.1","6.3","8.0","192","284","1.0","2.8","","","","","","","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2393","SHIV GANGA POND, DEOGHAR","POND","JHARKHAND","17","30","6.1","6.8","7.6","8.1","114","164","1.1","1.5","","","","","","","",""
"4491","HOLY POND OF SHIV GANGA
JARMUNDI, DUMKA","POND","JHARKHAND","17","29","5.8","7.1","7.7","8.3","122","245","1.2","1.5","","","","","","","",""
"4740","LOCO TALAB ) PUMPU TALAB),
AT- BARMASIA, DHANBAD","POND","JHARKHAND","15","34","3.2","7.3","3.3","7.4","","","11.2","13.1","","","","","","","",""
"4741","RANIBANDH TALAB NEAR ISM,
DHANBAD","POND","JHARKHAND","16","33","3.4","7.0","7.3","7.5","","","4.0","13.4","","","","","","","",""
"1388","ULSOOR LAKE TRAINING CENTRE
OF FISH BREEDING","LAKE","KARNATAKA","28","35","4.8","7.2","7.3","10.0","340","531","4.0","8.0","1.22","5.80","14","4800","120","35000","",""
"3559","HULIKERE LAKE","LAKE","KARNATAKA","22","35","6.2","7.3","7.4","8.4","274","571","4.0","6.0","0.34","1.20","310","940","3500","5400","",""
"3582","HEBBAL LAKE","LAKE","KARNATAKA","18","28","4.3","9.0","7.4","8.7","844","1111","2.3","8.0","1.30","10.70","400","1400","4700","8400","",""
"3583","KUKKARAHALLI LAKE","LAKE","KARNATAKA","19","27","5.7","8.4","8.5","8.9","532","625","2.0","6.5","1.20","3.72","400","1100","4300","7000","",""
"3584","DALAVAI LAKE","LAKE","KARNATAKA","16","30","1.0","5.9","7.3","7.9","621","1104","6.0","18.5","2.20","12.85","600","2400","6300","14000","",""
"3585","YENNEHOLE LAKE","LAKE","KARNATAKA","20","30","1.6","5.7","7.3","8.3","659","1114","4.8","22.0","1.70","11.75","610","2100","7000","11000","",""
"3586","LIMBHABUDI LAKE","LAKE","KARNATAKA","20","30","4.1","7.3","7.5","8.9","773","992","3.0","8.0","1.90","11.44","550","1400","5800","7900","",""
"3587","SHETTYKERE LAKE","LAKE","KARNATAKA","18","29","1.0","6.8","7.4","8.5","641","1063","2.5","18.4","2.70","12.82","400","2100","5800","13000","",""
"3593","ULSOOR LAKE TEMPLE","LAKE","KARNATAKA","28","35","3.2","7.1","6.7","9.3","348","495","4.0","17.0","1.22","5.95","32","6300","350","160000","",""
"3597","HESARAGHATTA LAKE","LAKE","KARNATAKA","23","29","0.6","6.8","6.5","8.1","340","469","4.0","30.0","0.96","8.02","14","17000","1600","48000","",""
"3599","ANCHEPALYA LAKE","LAKE","KARNATAKA","23","29","0.9","6.2","6.4","7.8","341","2180","4.0","54.0","1.22","9.22","170","2700","2800","94000","",""
"3601","KARIHOBANAHALLI LAKE","LAKE","KARNATAKA","22","26","0.3","4.4","6.5","7.7","402","3260","8.0","72.0","1.42","44.00","14","450000","240","2300000","",""
"3602","BELLANDUR LAKE","LAKE","KARNATAKA","25","29","0.3","6.2","6.7","7.9","435","2960","4.0","29.0","1.72","10.33","11","140000","350","210000","",""
"3603","VENGAIYYANAKERE( KR PURAM
LAKE )","LAKE","KARNATAKA","19","26","0.4","3.1","6.9","8.2","589","1517","18.0","50.0","2.39","6.02","21","22000","350","49000","",""
"3604","DODDANEKKUNDI LAKE","LAKE","KARNATAKA","25","26","1.3","6.6","6.6","8.0","435","2241","4.0","20.0","0.62","34.00","140","150000","1700","480000","",""
"3605","YELEMALLAPPA SHETTY LAKE","LAKE","KARNATAKA","22","27","0.7","4.6","6.5","8.2","389","1766","5.0","78.0","1.50","6.60","26","8400","920","17000","",""
"3608","VARTHUR LAKE","LAKE","KARNATAKA","23","32","0.3","6.3","6.6","8.0","946","1477","5.0","83.0","2.42","25.00","21","2300000","280","7000000","",""
"3609","IBBALUR LAKE","LAKE","KARNATAKA","23","30","1.9","6.7","6.8","7.8","446","985","4.0","38.0","0.92","4.77","17","21000","920","70000","",""
"3611","KAIKONDANAHALLI LAKE","LAKE","KARNATAKA","24","28","0.6","4.3","7.2","8.4","583","2106","7.0","58.0","2.00","8.50","17","31000","350","170000","",""
"3612","AGARAM LAKE","LAKE","KARNATAKA","24","30","2.2","7.3","7.2","8.4","416","1228","4.0","36.0","1.62","4.64","7","2700","63","13000","23","23"
"3613","GOTTIGERE LAKE","LAKE","KARNATAKA","25","30","2.0","5.8","6.8","8.0","385","1210","5.0","20.0","1.52","8.52","140","11000","2200","160000","",""
"3614","PUTTENAHALLI LAKE","LAKE","KARNATAKA","24","31","3.1","6.8","6.7","8.0","416","1214","4.0","16.0","1.50","5.05","32","23000","920","240000","",""
"3615","ARAKERE LAKE","LAKE","KARNATAKA","25","30","2.5","6.3","6.6","8.2","389","1114","5.0","30.0","0.02","4.80","170","49000","2400","350000","",""
"3616","KALENA AGRAHARA LAKE","LAKE","KARNATAKA","24","30","1.0","6.5","6.5","8.2","373","1224","4.0","20.0","0.02","5.75","31","4600","1600","24000","",""
"3617","HULIMAVU LAKE","LAKE","KARNATAKA","26","26","6.0","6.0","7.6","8.0","482","1140","4.0","7.0","1.96","4.00","240","4600","5400","54000","",""
"3618","SINGASANDRA LAKE","LAKE","KARNATAKA","24","30","2.6","6.1","7.1","8.5","400","1941","4.0","48.0","0.02","6.33","140","17000","2400","160000","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3620","PARAPPANA AGRAHARA LAKE","LAKE","KARNATAKA","24","29","0.3","5.7","7.2","8.5","608","1931","4.0","66.0","0.02","6.00","24","14000","1600","46000","",""
"3621","HARALUR LAKE","LAKE","KARNATAKA","24","29","0.3","6.0","6.9","9.8","502","1830","4.0","128.0","1.50","6.30","170","4700","1400","28000","",""
"3622","SOMASUNDRAPALYA LAKE","LAKE","KARNATAKA","24","29","1.2","6.6","7.1","8.2","608","1821","5.0","29.0","0.02","6.30","43","4700","920","54000","",""
"3624","PUTTENAHALLI LAKE","LAKE","KARNATAKA","24","30","0.3","7.3","6.6","7.7","353","1098","5.0","38.0","1.28","3.90","26","4600","1600","17000","",""
"3625","HEBBAL LAKE","LAKE","KARNATAKA","22","28","0.3","7.2","6.5","7.9","382","1095","4.0","28.0","1.49","3.90","170","4700","2200","22000","",""
"3626","NAGAVARA LAKE","LAKE","KARNATAKA","24","32","1.2","7.8","6.5","8.2","347","1403","4.0","42.0","1.32","4.80","26","3300","1600","17000","",""
"3627","JAKKUR LAKE","LAKE","KARNATAKA","24","32","0.3","7.6","6.8","8.2","348","1338","4.0","25.0","1.32","5.10","110","14000","2400","49000","",""
"3628","AMRUTHAHALLI LAKE","LAKE","KARNATAKA","24","30","0.7","7.7","6.5","7.7","425","1019","4.0","21.0","1.62","3.50","17","12000","1600","70000","",""
"3629","ALLALASANDRA LAKE","LAKE","KARNATAKA","24","29","0.3","7.9","6.8","8.1","330","1477","4.0","32.0","1.28","5.20","140","23000","2400","46000","",""
"3632","VEERAPURA TANK","LAKE","KARNATAKA","25","36","3.1","6.2","6.5","8.0","160","1056","4.0","16.0","0.50","3.82","21","3300","920","11000","",""
"3635","MALATHAHALLI LAKE","LAKE","KARNATAKA","23","30","0.3","7.1","6.5","8.1","408","2500","4.0","58.0","0.68","10.80","78","2600","2400","14000","",""
"3636","HOSKERE LAKE","LAKE","KARNATAKA","23","34","0.3","6.0","6.5","7.2","298","2550","4.0","79.0","1.00","9.80","20","11000","1600","79000","",""
"3637","BYRAMANGALA LAKE","LAKE","KARNATAKA","25","36","0.3","4.1","6.6","7.8","450","1519","7.0","79.0","3.65","6.10","26","46000","140","70000","",""
"3638","YELACHENAHALLI LAKE","LAKE","KARNATAKA","24","35","1.4","6.5","6.6","8.9","362","587","4.0","28.0","1.40","3.70","170","2700","1700","13000","",""
"3640","UTTARAHALLI DORAIKERE","LAKE","KARNATAKA","24","37","0.3","4.2","6.5","8.2","248","1893","5.0","98.0","0.72","6.90","10","78000","3500","330000","",""
"3643","BENNIGANAHALLI LAKE","LAKE","KARNATAKA","19","26","3.1","6.8","6.7","8.6","535","634","4.0","17.0","1.80","3.00","20","130000","1600","460000","",""
"3644","MULBAGALU LAKE","LAKE","KARNATAKA","23","36","2.2","6.0","7.0","8.3","1381","2780","4.0","43.0","4.62","9.90","140","11000","2400","33000","",""
"3645","DEVARAYASAMUDRA LAKE","LAKE","KARNATAKA","23","36","0.3","6.4","6.5","9.8","273","730","4.0","17.0","0.76","2.60","17","920000","920","4600000","",""
"3646","NARASAPURA LAKE","LAKE","KARNATAKA","23","35","0.4","6.2","6.5","7.6","844","1119","4.0","9.0","3.00","5.11","12","17000","920","33000","",""
"3651","BHEEMSANDRA TANK","LAKE","KARNATAKA","21","34","0.3","6.0","6.6","8.0","650","1836","4.0","66.0","3.81","7.40","24","7000","920","35000","",""
"3654","GOTTIGERE LAKE","LAKE","KARNATAKA","21","32","0.3","6.0","6.6","8.1","177","2076","4.0","60.0","0.73","8.06","39","220000","1600","490000","",""
"3660","HUNASINA KERE LAKE","LAKE","KARNATAKA","23","31","6.1","7.0","7.2","8.3","480","790","2.0","3.0","0.50","4.72","210","470","1600","3500","",""
"3674","SATHYAMANGALA KERE POND","LAKE","KARNATAKA","21","29","6.5","7.2","7.1","8.2","370","740","2.0","3.0","0.81","4.62","220","490","1600","3500","",""
"3679","BHUTANALA LAKE","LAKE","KARNATAKA","20","28","5.0","9.0","7.0","10.0","454","958","1.0","6.3","0.41","35.15","920","920","1600","1600","280","540"
"3680","KILLA LAKE","LAKE","KARNATAKA","22","28","5.3","10.8","6.9","8.7","268","516","1.3","4.9","0.37","11.02","540","920","920","1600","220","430"
"3684","KELEGERE LAKE","LAKE","KARNATAKA","23","28","5.5","7.2","7.5","8.1","638","913","4.8","10.0","1.04","1.80","1100","3300","4300","7000","",""
"3685","NAVALOORU LAKE","LAKE","KARNATAKA","23","24","5.8","6.7","7.7","8.2","787","1142","4.0","7.0","0.67","1.84","540","1100","3900","6300","",""
"3687","NUGGIKERE LAKE","LAKE","KARNATAKA","23","27","5.8","6.8","7.5","8.2","566","1154","3.9","6.0","0.42","2.12","250","840","3200","6900","",""
"3688","SUDANAKERE LAKE","LAKE","KARNATAKA","22","28","5.7","7.2","7.5","8.4","719","1075","3.4","7.0","1.01","1.82","170","840","2400","6900","",""
"3690","UNAKALKERE LAKE","LAKE","KARNATAKA","22","28","4.4","6.9","7.7","8.5","876","1208","5.8","12.0","1.18","2.42","920","2600","5400","9400","",""
"3692","KUNDUVADAKERE LAKE","LAKE","KARNATAKA","27","29","5.2","7.3","7.7","8.6","140","350","1.2","5.0","0.30","3.24","11","330","220","2200","",""
"3695","KONDAJJIKERE LAKE","LAKE","KARNATAKA","25","28","6.4","8.1","7.2","9.0","200","640","1.0","3.0","0.49","3.27","26","790","700","3500","",""
"3696","AYYANAKERE LAKE","LAKE","KARNATAKA","22","30","4.6","11.2","7.1","9.3","282","1992","6.0","36.0","0.47","3.59","11000","28000","35000","92000","",""
"4094","GANGONDANAHALLI LAKE","LAKE","KARNATAKA","23","30","0.3","6.2","5.3","7.8","1069","3860","8.0","86.0","4.85","14.82","110","13000000","1400","33000000","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4095","CHIKKABANAVARA LAKE","LAKE","KARNATAKA","23","30","0.9","6.1","6.8","7.8","430","1907","4.0","26.0","2.02","29.00","17","33000","240","170000","",""
"4096","ANDHRAHALLI LAKE","LAKE","KARNATAKA","24","29","0.3","6.8","6.5","8.1","446","2820","6.0","58.0","1.85","11.20","210","3300000000","3500","7000000000","",""
"4097","KACHOHALLI LAKE","LAKE","KARNATAKA","23","30","0.3","1.9","6.6","7.9","1065","3040","15.0","94.0","0.43","11.70","45","680000","460","3300000","",""
"4504","SARAKKI LAKE","LAKE","KARNATAKA","24","35","4.2","7.1","7.2","8.6","650","1066","4.0","10.0","2.52","4.00","17","2100","350","7000","",""
"4505","NELAMANGALA LAKE","LAKE","KARNATAKA","24","34","0.3","6.0","6.5","7.5","738","2540","6.0","79.0","2.68","10.24","140","26000","2400","110000","",""
"4506","ABBIGERE LAKE","LAKE","KARNATAKA","20","30","0.5","7.0","6.5","8.3","358","1858","4.0","27.0","1.62","22.00","3","3100","920","13000","",""
