"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"2218","DEEPAR BEEL AT BORAGAON
NEAR IASST, GUWAHATI, ASSAM","LAKE","ASSAM","21","31","4.7","10.2","6.9","8.0","240","318","5.2","6.0","1.00","2.40","300","730","720","1500","120","240"
"2220","CHAND DUBI BEEL, CHAND DUBI,
ASSAM","LAKE","ASSAM","21","33","5.0","10.3","7.0","7.9","90","142","2.0","2.5","0.70","1.20","300","620","910","1600","95","210"
"3783","MAGURI BEEL, GUIJAN, TINSUKIA","LAKE","ASSAM","18","28","3.9","7.6","6.7","7.8","96","140","2.0","2.5","0.60","1.20","300","930","910","1900","95","290"
"3787","HOLUDUNGA BEEL NEAR GAI
NADI/ RIVER AT SOMARAJAN,
DHEMA JI","LAKE","ASSAM","20","30","4.9","8.6","6.8","7.4","116","192","1.8","2.6","0.60","1.00","300","360","910","1500","95","150"
"3789","BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI","LAKE","ASSAM","21","29","5.0","8.6","6.8","7.8","120","150","1.9","2.6","0.60","1.10","300","620","910","1500","95","240"
"3798","SAMAGURI BEEL IN NAGAON
DISTRICT","LAKE","ASSAM","17","32","5.0","11.1","6.7","7.6","90","148","2.0","2.8","0.60","1.60","300","360","730","1500","95","150"
"3800","MALINI BEEL NEAR INDUTRIAL
AREA AT RAMNAGAR","LAKE","ASSAM","21","24","5.0","5.6","6.4","6.9","128","156","2.0","2.5","0.60","1.40","300","620","720","1500","95","210"
"3804","SON BEEL WATER AT
KARIMGANJ","LAKE","ASSAM","20","24","5.2","6.1","6.7","7.2","122","144","2.0","2.7","0.60","1.10","300","360","910","1300","95","120"
"3808","PARASHALI BEEL AT DEMORIA","LAKE","ASSAM","19","34","5.3","8.2","6.7","7.2","96","130","2.0","2.8","0.60","1.20","300","620","1100","1500","95","210"
"3812","KAMALPUR BEEL, KAMALPUR","LAKE","ASSAM","17","32","0.3","1.2","6.8","7.9","964","1014","21.0","28.6","2.20","11.50","730","1500","1500","2700","210","460"
"3814","SILSAKO BEEL, CHACHAL,
GUWAHATI","LAKE","ASSAM","19","31","0.3","7.4","7.0","7.5","344","490","12.0","18.0","0.60","1.70","1100","1600","2100","3500","290","460"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3819","SORU SOLA BEEL, PALTAN
BAZAR, GUWAHATI","LAKE","ASSAM","19","32","0.3","4.8","7.0","7.4","358","512","12.6","18.8","0.80","1.80","2900","3600","4400","5300","460","460"
"3820","BORSOLA BEEL, SARABBHATTI,
GUWAHATI","LAKE","ASSAM","19","32","0.3","4.9","7.0","7.6","360","510","12.4","18.0","0.80","1.80","2300","3500","4200","5300","460","460"
"3821","DIPLAI BEEL AT SILGARA,
KOKRAJHAR","LAKE","ASSAM","19","31","5.2","5.5","6.9","7.5","120","160","2.0","2.6","0.70","1.10","300","360","910","1100","95","150"
"4337","KAMALABARI LAKE INSIDE
KAMALABARI CHILDREN,S PARK,
GELEKY","LAKE","ASSAM","19","34","5.5","8.0","6.7","7.3","76","126","1.8","2.4","0.60","1.00","360","620","730","1100","110","210"
"5517","Near view point Bird watching
Tower of the Deepor Bel","LAKE","ASSAM","20","31","5.9","10.6","6.8","9.9","222","298","4.6","5.8","1.00","1.80","360","1100","910","2000","120","290"
"5518","Near picnic spot, 200 mtr from
the railway bridge, East Side of
the DeeporBeel","LAKE","ASSAM","21","32","5.7","10.8","6.8","9.9","218","316","4.8","5.8","1.00","1.80","600","920","1100","2000","210","290"
"5519","At Howrapara, Khanamukh
before mixing with
Khanamukhjaan","LAKE","ASSAM","20","31","3.0","10.1","7.0","7.8","232","466","4.2","5.8","1.00","1.60","600","730","1100","2000","210","240"
"5520","Near Assam Engineering
College,Jalukbari","LAKE","ASSAM","21","32","5.0","10.5","6.9","7.7","220","468","4.6","5.6","0.90","1.40","360","730","910","1600","95","240"
"5521","Near Azara Railway Station,
Ganakpara Chakardoi","LAKE","ASSAM","21","32","3.3","10.0","6.4","8.8","230","468","5.0","5.6","1.00","1.60","360","730","730","1600","120","240"
"5522","At the center of DeeporBeel","LAKE","ASSAM","20","30","5.6","10.5","6.6","9.9","204","314","5.0","5.8","1.10","1.60","300","730","720","1500","95","210"
"5617","Jugibeel , Golaghat","LAKE","ASSAM","18","32","2.7","10.0","6.8","7.5","86","152","1.8","2.5","0.60","1.40","300","360","720","1500","95","120"
"5618","Chatla Lake,Cachar","LAKE","ASSAM","21","32","5.0","5.9","6.8","7.4","130","144","2.1","2.5","0.60","1.00","300","600","720","1500","95","210"
"5619","Doloo lake at cachar","LAKE","ASSAM","20","24","5.3","6.0","6.8","7.3","130","142","2.3","2.7","0.60","1.00","300","620","910","1200","95","210"
"5620","Panidihing Bird Sanctuary
,Sivasagar","LAKE","ASSAM","14","30","5.4","7.7","6.9","7.5","94","132","1.9","2.5","0.70","1.20","360","910","730","2800","130","340"
"5621","Laukhowabeel,Dhubri","LAKE","ASSAM","20","33","5.1","5.6","6.8","7.5","108","140","2.0","2.5","0.60","2.00","300","360","730","1300","95","150"
"5622","Maguri beel Near Bridge,Tinsukia","LAKE","ASSAM","18","29","3.9","9.6","7.0","7.5","98","196","1.8","2.3","0.60","1.40","300","910","910","2000","95","290"
"5623","Haflong Lake, Haflong Town","LAKE","ASSAM","18","33","5.3","10.0","7.0","7.6","116","196","1.9","2.4","0.60","1.00","300","730","910","2000","120","240"
"1532","JAYSAGAR TANK, SIVASAGAR,
ASSAM","POND","ASSAM","20","35","5.6","7.6","7.0","7.6","84","98","1.8","2.3","0.60","0.90","300","730","720","1500","110","280"
"2208","BORPUKHURI, NAZIRA, ASSAM","POND","ASSAM","20","33","5.7","7.9","6.9","7.5","83","194","1.9","2.4","0.70","1.10","300","360","730","1100","110","140"
"2209","GAURISAGAR TANK,
GAURISAGAR, ASSAM","POND","ASSAM","17","35","6.2","7.5","6.9","7.6","80","110","1.7","2.5","0.80","1.10","300","730","730","2100","110","280"
