"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1573","RIVER CHITHRAPUZHA AT IRUMPANAM, KERALA","CHITHRAPPUZHA","KERALA","26","30","1.1","7.1","6.16","8.7","130","3572","2.3","4.2","0.3","1.31","400","3100","790","4600","31","540"
"2284","RIVER NEYYAR AT ARUVIPURAM","NEYYAR","KERALA","29","29","5.7","9.2","6.1","7","72","155","1","1.8","0.3","0.3","220","2100","630","3200","1.8","1.8"
"2285","RIVER MAMOM AT MAMOM BRIDGE","MAMOM","KERALA","28","29","5.4","7.8","6.2","6.9","110","234","1","1.3","0.3","0.3","920","1600","1100","3800","1.8","1.8"
"2286","RIVER AYIROOR AT AYIROOR BRIDGE","AYIROOR","KERALA","28","29","5.2","7.1","6","6.9","107","165","1","2.1","0.3","0.3","790","2700","1100","4100","1.8","1.8"
"2287","RIVER ITHIKKARA AT ITHIKKARA","ITHIKKARA","KERALA","27","30","5.1","7","7","8.1","116","8290","1","2.8","0.36","4.2","150","280","630","790","20","79"
"2288","RIVER PALLICKAL AT NELLIMUKAL","PALLICKAL","KERALA","26","30","4.4","8","6.9","7.6","93","320","1","2.8","0.5","5.9","79","170","540","630","10","40"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2289","RIVER KARUVANNUR AT KARUVANNUR BRIDGE","KARUVANNUR","KERALA","24","31","3.8","8.6","6.32","9","50","123","1","2.9","0.3","2.8","1.8","500","60","920","1.8","210"
"2290","RIVER PUZHAKKAL AT PUZHACKAL BRIDGE","PUZHAKKAL","KERALA","27","32","2.5","7.2","6.4","8.4","77","256","1","3","0.3","5","1.8","790","100","1200","1.8","50"
"2293","RIVER KADALUNDI AT HAJIRAPPALLY","KADALUNDI","KERALA","23","30","6.6","7.8","6.5","7.3","80","140","1","8.9","0.3","0.4","40","2400","110","17000","1.8","40"
"2294","RIVER KALLAYI AT KALLAYI BRIDGE, KOZHIKODE","KALLAYI","KERALA","26","31","1.1","5.4","6.79","7.65","219","47620","1","5.5","0.3","0.94","10000","360000","19000","400000","31","19500"
"2295","RIVER KORAPUZHA AT KANAYANKODE","KORAPUZHA","KERALA","26","33","5.6","7.3","6.51","7.81","174","40920","1","1","0.3","0.51","84","9000","150","17000","1.8","1100"
"2296","RIVER THALASSERRY AT PATHIPALAM","THALASSERRY","KERALA","27","31","4","8","6","7.5","52","230","1","6.5","0.3","1.4","79","400","100","790","10","170"
"2297","RIVER ANCHARAKANDY AT MERUVAMBAYI","ANCHARAKANDY","KERALA","27","32","4.8","8","6.5","7.5","46","189","1","3.4","0.3","1.3","110","290","170","380","10","120"
"2298","RIVER KUPPAM AT RAYAROM","KUPPAM","KERALA","27","31","5.5","8","6.4","7.5","48","213","1","3.1","0.3","1.2","40","380","100","440","10","70"
"2299","RIVER RAMAPURAM AT RAMAPURAM BRIDGE","RAMAPURAM","KERALA","27","32","3.6","7","6","7.7","102","39500","1","4.7","0.3","2.1","70","430","90","630","10","31"
"2300","RIVER PERUVAMBA AT CHANDAPURA","PERUVAMBA","KERALA","26","32","4.4","9.8","6","7.3","50","203","1","6.5","0.3","1.1","40","300","100","500","10","40"
"2301","RIVER KAVVAI AT KUTTIYOL PALAM","KAVVAI","KERALA","27","32","5","7.9","6.1","7.5","42","310","1","2.7","0.3","0.3","50","500","90","1000","10","50"
"2303","RIVER PULLUR AT PULLUR BRIDGE","PULLUR","KERALA","27","31","6.2","8.5","6.1","7.78","54","453","1","2.7","0.3","3.46","1.8","1000","300","3160","1.8","170"
"2304","RIVER MOGRAL AT MOGRAL BR.","MOGRAL","KERALA","28","31","4.4","7.7","6.1","7.5","125","62410","1","3.1","0.33","7.61","1.8","3320","31","3600","1.8","410"
"2305","RIVER SHIRIYA AT ANGADIMOGARU","SHIRIYA","KERALA","27","31","6.4","8.6","6.5","7.6","42","240","1","2.9","0.3","6.36","10","2100","540","3760","1.8","500"
"2306","RIVER UPPALA AT UPPALA BR.","UPPALA","KERALA","28","31","5.4","8","6.5","9.25","66","61900","1","2.5","0.3","3.46","1.8","2550","63","3480","1.8","730"
"2307","RIVER MANJESHWAR AT BAJRAKKARA BR.","MANJESHWAR","KERALA","26","31","7","8.1","7","7.8","61","293","1","2.4","0.3","48.83","1.8","3920","150","5840","1.8","980"
"2318","RIVER VALAPATTANAM AT PAZHASSI RESERVOIR, KANNUR","VALAPATTANAM","KERALA","27","32","4.1","10.6","6.5","7.4","45","157","1","8.5","0.3","0.4","10","500","50","600","1.8","80"
"2319","RIVER ANCHARAKANDY AT ANCHARAKANDY","ANCHARAKANDY","KERALA","27","32","6.2","8","6","7","52","302","1","4.5","0.3","5.6","31","350","60","480","5.5","30"
"2326","RIVER KORAYAR NEAR NARAGAMPALLY BRIDGE AT KANJIKODKEO, PRAALYAAKRK AD","","KERALA","26","31","2.5","7.8","7.3","8.26","466","1078","1.4","7","0.3","0.68","100","920","210","1000","1.8","430"
"2331","RIVER BHARATHAPUZHA AT KUTTIPPURAM","BHARATHAPUZHA","KERALA","29","35","3.9","7.7","7.1","8.08","128","263","1","3.8","0.3","1.1","100","1600","200","1900","1.8","490"
"2332","RIVER BHARATHAPUZHA AT PATTAMBI","BHARATHAPUZHA","KERALA","28","34","4.1","7.7","7.3","8.1","120","427","1","4.8","0.3","0.6","110","600","120","1100","1.8","260"
"2333","RIVER PERIYAR AT MUPPATHADAM","PERIYAR","KERALA","27","30","4.1","7.4","6.4","8.9","31","86","1","2.1","0.3","0.3","27","700","70","3500","1.8","240"
"2334","RIVER PERIYAR AT PATHALAM","PERIYAR","KERALA","26","30","5.5","8","6.8","9","75","39350","1","3.5","0.3","1.44","170","1500","410","2400","58","460"
"2335","RIVER PERIYAR AT KALAMASSERY","PERIYAR","KERALA","27","30","3.8","7.4","6.4","8.8","44","84","1","3","0.3","0.41","270","3400","630","7900","54","430"
"2336","RIVER PERIYAR AT PURAPPALLIKADAVU","PERIYAR","KERALA","27","30","5.2","7.7","6.2","8.1","36","9360","1","4.2","0.3","0.41","150","1400","400","4900","10","580"
"2337","RIVER KADAMBRAYAR AT BRAHMAPURAM","KADAMBAYAR","KERALA","26","30","0.6","4.1","5.98","7.5","93","174","1.6","3.8","0.3","0.6","430","6300","1400","7900","20","630"
"2338","RIVER KADAMBRAYAR AT MANCKAKADAVU","KADAMBAYAR","KERALA","26","30","0.6","6.5","6","8","85","138","1.7","3.9","0.3","0.42","700","3400","920","7000","40","700"
"3458","RIVER KARAPUZHA DAM AT WAYANAD","KARAPUZHA","KERALA","23","32","2.4","7.6","6.12","8.2","68","260","1","4.5","0.3","0.9","1.8","22","4","84","1.8","404"
"3459","RIVER MANIYANKODE PUZHA AT MANIYANKODE BRIDGMEA, WNIAYYAANNKAODD","E PUZHA","KERALA","23","34","2.2","7.6","6.2","8","69","290","1","2.8","0.3","0.3","1.8","58","4","170","1.8","46"
"3460","RIVER KALPATHI PUZHA AT KALPATHI, PALAKKAD","KALPATHI PUZHA","KERALA","24","30","1","7.5","7.3","8.2","245","732","1","7.6","0.3","0.5","200","630","350","1000","20","210"
"3464","RIVER CHALIYAR AT NILAMBUR, MALAPPURAM","CHALIYAR","KERALA","27","32","7.1","8.1","6.3","7.9","64","119","1","1.9","0.3","0.46","210","12000","2800","27000","1.8","4600"
"3465","RIVER ACHANKOVIL AT KALLARAKADAVU, PATHANAMTHITTAA","CHANKOVIL","KERALA","27","30","4.4","7.4","6.5","7.6","63","237","1","2.8","0.3","3.8","94","170","630","920","10","40"
"3466","RIVER ACHANKOVIL AT PANDALAM","ACHANKOVIL","KERALA","27","30","4.5","7.3","6.5","7.8","69","236","1","3.5","0.3","2.9","79","140","630","790","10","31"
"3468","RIVER PERIYAR AT KWA INTAKE, ALUVA","PERIYAR","KERALA","26","30","5.1","7.3","6.3","9.44","34","61","1","4.2","0.3","0.7","170","1900","630","3400","63","310"
"3471","RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAMK","ARAMANA","KERALA","28","29","7.2","8.5","6.1","6.9","45","119","1","2.2","0.3","0.3","350","1400","790","1900","1.8","1.8"
"3473","RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR","VALAPATTANAM","KERALA","27","32","4","8","6.4","7.8","93","42900","1","7.2","0.3","1.6","120","2300","210","3000","10","200"
"5176","RIVER KANAMPUZHA IN KANNUR MUNCIPALITY","ANCHARAKANDY","KERALA","30","31","3.6","7.8","6.5","7.8","","","1","4.4","","","40","600","110","110","",""
"5177","RIVER VALAPATTANAM AT AZHEEKAL PORT, AZHEEKODE,KVAANLNAPUAR","TTANAM","KERALA","30","31","4.3","7.9","7","8.5","","","1.4","1.4","","","10","900","","","",""
"5191","RIVER PAMBA NEAR THOTTAPPALLY HARBOUR, ALAPPUZHA","PAMBA","KERALA","","","2.8","7.2","7.2","9.8","","","","","","","1.8","7900","","","",""
"5192","RIVER CHALIYAR BEYPORE PORT, KOZHIKODE","CHALIYAR","KERALA","28","28","4.7","8","6.9","8.8","","","1","4.1","","","10","6000","","","",""
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5193","RIVER PERIYAR AZHIKODE FERRY, KODUNGALLUR,THRISSUR","PERIYAR","KERALA","","","4","11","6.6","8","5","5","1","3.5","","","1.8","800","","","",""
"5195","RIVER KARAMANA AT THIRUVALLOM, THIRUVANANTHAPURKAAMR","AMANA","KERALA","28","30","0.8","9.6","6.2","6.94","202","9898","1","7.5","0.3","32.5","1800","12800","2200","20800","1.8","1.8"
"5196","RIVER KARAMANA AT PEPPARA UPSTREAM, PEPPARA DAM, KTAHRIRAUMVAANNAA NTHAPKUERRAALMA","","","28","29","6.4","7.9","6","6.6","32","105","1","1.5","0.3","0.3","200","900","400","1200","1.8","1.8"
"5202","RIVER KALLADA AT KULATHUPUZHA, KOLLAM","KALLADA","KERALA","26.4","30","4.9","7.9","6.9","7.9","50","3927","1","4.1","0.3","2.9","110","540","630","920","20","63"
"5203","RIVER KALLADA AT MUNDROTHURUTH, KOLLAM","KALLADA","KERALA","25.9","29","4.2","7.9","7","7.8","492","8510","1","5.9","0.3","2.9","94","280","580","840","10","49"
"5205","RIVER PAMBA AT MUNNAR, PATHANAMTHITTA","PAMBA","KERALA","26","29","3.3","6.9","6.3","7.5","48","135","1","3.2","0.3","4.1","84","3400","280","4000","1.8","1.8"
"5207","RIVER PAMBA AT VEEYAPURAM, ALAPPUZHA","PAMBA","KERALA","29","31","4.7","7.9","7.1","9.6","140","385","1","4.3","0.3","0.65","100","3200","400","6000","1.8","1.8"
"5209","RIVER PERIYAR AT PANAMKUTTY BRIDGE, IDUKKI","PERIYAR","KERALA","24","25","7","8.5","6.5","7.4","46","64","1.5","2.1","0.3","1.45","1.8","630","110","2000","1.8","630"
"5211","RIVER MUVATTAPUZHA AT PERUVAMMUZHI BRIDGE, ERNMAKUUVLAATMT","APUZHA","KERALA","26","29","5.5","7.8","6.1","7.86","55","83","1","1.3","0.3","1.4","3.6","110","8.1","220","1.8","630"
"5213","RIVER PUZHAKKAL AT PANCHIKKAL CANAL, THRISSUR","PUZHAKKAL","KERALA","26","32","1.2","8.6","6.37","8.7","140","412","1","3","0.3","7.6","50","630","100","920","1.8","430"
"5215","RIVER CHITTURPUZHA AT CHITTUR BRIDGE, PALAKKAD","CHITHRAPPUZHA","KERALA","27","32","3.5","7.7","7.7","8.3","279","512","1","4.2","0.3","0.56","100","1200","200","1600","1.8","350"
"5224","RIVER KALLAYI AT MOORIYADU, KOZHIKODE","KALLAYI","KERALA","26","30","0.5","7.7","6.82","7.75","235","51430","1","7.8","0.3","1.79","2000","400000","7800","720000","110","23000"
"5225","RIVER KALLAYI AT KOTHI BRIDGE, KOZHIKODE","KALLAYI","KERALA","26","32","2.2","7.3","6.86","8.1","296","61500","1","4.3","0.3","1.74","5000","600000","6000","1020000","200","12000"
"5231","RIVER KAVVAI AT KANKOL, KANNUR","KAVVAI","KERALA","27","32","2.6","7.6","6.3","7.5","35","265","1","4.5","0.3","0.3","49","350","100","630","15","40"
"5232","RIVER PERUVAMBA AT PERUMBA BRIDGE, KANNUR","PERUVAMBA","KERALA","27","32","4.4","8","6","7.8","83","43300","1","6","0.3","1.1","50","350","80","630","10","50"
"5233","RIVER RAMAPURAM AT KAPPUNGAL, KANNUR","RAMAPURAM","KERALA","26","30","5","7.7","6","7.3","51","304","1","13","0.3","0.3","100","210","120","430","10","20"
"5234","RIVER KUPPAM AT UROOTERI, KANNUR","KUPPAM RIVER","KERALA","27","32","6.7","8","6.2","7.5","43","201","1","3.9","0.3","0.3","20","300","60","1200","5","50"
"5235","RIVER VALAPATTANAM AT PAVANNUR, KANNUR","VALAPATTANAM","KERALA","27","31","5.5","8","6.5","7.5","45","20000","1","7.9","0.3","1.4","60","960","100","1600","10","120"
"5236","RIVER THALLASSERRY AT ERANJOLI PALAM, KANNUR","THALASSERRY","KERALA","27","31","3.9","7.7","6.5","8.1","105","44700","1","6.6","0.3","1.3","100","370","130","790","10","30"
"5239","VALAPATTANAM RIVER AT IRRITY BRIDGE,KANNUR","VALAPATTANAM","KERALA","27","31","6.7","7.8","6.5","7.7","42","228","1","5.9","0.3","1.3","150","1000","210","1500","10","150"
"5240","RIVER THALASSERY AT KUNDUCHIRA, KANNUR","THALASSERRY","KERALA","27","31","4.9","7.9","6.5","7.7","64","2512","1","6","0.3","1.3","80","450","120","700","10","31"
"5241","RIVER THALASSERY AT KODUVALLY, KANNUR","THALASSERRY","KERALA","27","31","3.9","7.1","6.8","8.04","3840","53640","1","5.4","0.3","20.4","60","400","100","540","10","34"
"5244","RIVER MOGRAL AT MADHUR BRIDGE NEAR MADHUR SRI SIDHMIVOINGARYAALK A TEMPKLEER,A KLAAS ARAGOD","","","27","31","6.6","8.2","6.3","7.72","53","196","1","3","0.3","5.78","1.8","3200","140","5300","1.8","1200"
"5245","RIVER MANJESHWAR AT BANGRA-MANJESHWAR BRIDGE,HMOSADNUJERSGH, WKAASRA RAGKOEDR","","ALA","28","31","5.9","8.1","6.5","7.3","87","61500","1","3.2","0.3","6","1.8","4600","490","5850","1.8","790"
"10016","RIVER PAMBA U/S","PAMBA","KERALA","26","31","4.9","7.3","6.3","7.6","38","70","1","3.4","0.3","0.41","94","3900","210","11100","1.8","1.8"
"10017","RIVER PAMBA D/S","PAMBA","KERALA","26","30","3.5","7.5","6.5","7.8","38","125","1","7.2","0.3","5.2","120","260000","350","320000","1.8","1.8"
"1092","River Kalu at Atale village, Village- Atale, Taluka- Kalyan, DistrictK- AThLUan e.","","MAHARASHTRA","23","28","0.9","7.6","6.7","8.2","117","5511","2","30","0.3","11.7","4","130","49","350","1.8","7.8"
"1093","RIVER ULHAS AT U/S OF NRC BUND, VILLAGE. MOHANE, TALUKAU.L KHAALSY AN, DISTMRAICHTA. TRHAASHNTER.","","A","27","30","6.2","7.5","7.2","8.3","131","363","2","7","0.3","2.4","1.8","17","22","48","1.8","4.5"
"1094","","RIVER ULHAS AT U/S OF BADLAPUR WATER WORKS, VILLAGE. KUULLHGAASO N, TALUKMAA. HAAMRBAESRHNTARTAH , DISTRICT. THA27N E.","","","30","6.9","7.5","7.1","8.5","84","205","2.8","4","0.3","1.6","1.8","9.3","23","70","1.8","1.8"
"1151","RIVER PATALGANGA AT SHILPHATA BRIDGE, VILLAGE-KHOPPOALTI,ATLAGLAUNKAG-A K HALAMPAUHRA, RDAISSTHRTIRCTA-  RAIGAD.","","","27","28","6.8","7.6","6.9","7.9","66","207","2","4","0.3","1.3","6.8","26","33","120","1.8","4"
"1152","RIVER KUNDALIKA AT ROHA BRIDGE, VILLAGE-ROHA, TALUKKAU- NRDOAHLAIK, DAI STRICMT- ARHAAIGRAADSH.","","TRA","30","35","6.8","7.5","7.4","8.7","67","149","1.8","4","0.3","3.31","1.8","34","6.8","94","1.8","1.8"
"1461","RIVER BHATSA AT D/S OF PISE DAM, VILLAGE. PISE, TALUKA. BBHHIWATASNAD I, DISTRMICATH. TAHRAANSHE.T","","RA","30","36","6.6","7.6","7.6","8.3","74","286","1","3","0.3","3.2","1.8","22","4.5","94","1.8","1.8"
"1462","","RIVER PATALGANGA NEAR INTAKE OF MIDC WATER WORKSP A(TTUALRGAADNE GWA/ W). VMILALHAAGREA. TSHUTRRAAD E, TALUKA. KHA2L7A PUR,2 D8I STRI6C.7T.  RA7IG.5A D.","","","","","","7.2","8","82","210","1","5","0.3","1.4","1.8","46","23","63","1.8","1.8"
"2162","RIVER ULHAS AT JAMBHUL WATER WORKS, VILLAGE- JAMBHULU, TLAHLAUSK A- AMBMERANHAATRHA, SDHISTTRRAI CT- THANE.","","","27","30","6.8","7.6","7.1","8.3","83","204","2","4","0.3","1.7","1.8","17","7.8","84","1.8","1.8"
"2164","","","RIVER VASHISHTI AT U/S OF THREE M PAPER MILLS NEAR M/S VMAUSHLTISIFTIIL MS PLAMSTAIHC APRVATS.H LTTRDA . , VILLAGE- KHER2D8 I, TAL3U0K A- C6H.I8P LUN7,. 6D ISTRI7C T- RA8T.N2 AGIRI4. 9","","","","","","","","112","2.6","3","0.41","1.66","4","6.1","17","27","1.8","1.8"
"2168","RIVER MITHI NEAR ROAD BRIDGE, VILLAGE- MAHIM, TALUKA- BMANITDHRI A, DISTRIMCTA- HMAURMASBHATIR.","","A","27","28","1.8","3.8","7.1","7.8","444","3142","6","80","0.3","6.84","220","9200","920","16000","1.8","920"
"2198","RIVER KUNDALIKA AT ARE KHURD (SALINE ZONE), VILLAGE-AKRUEKNHDUARLDIK,TAA LUKAM- RAOHHAAR,A DSIHSTTRRAIC T- RAIGAD.","","","30","35","4.1","7.5","6.9","8.1","113","2685","2","8","0.3","2.2","1.8","130","23","920","1.8","6.8"
"2199","RIVER SAVITRI AT OVALE VILLAGE, VILLAGE. OVALE, TALUKA. MSAAHVAITDR,I D ISTRICTM. RAAHIAGRAADS.","","HTRA","27","38","4.1","7.5","7","8.2","130","41610","3","15","0.32","3.96","4.5","10","21","46","1.8","1.8"
"2651","","","RIVER AMBA AT D/S OF WAKEN BRIDGE, VILLAGE- WAKEN PHATAAM, BTAAL UKA- ROMHAAH, DAIRSATRSHICTTR- AR AIGAD. ( U/S O2F9 T HE JA3C3K WEL6L.S9  OF M7.7/S  SUP7R.6E ME 8P.E1T ROCH6E5M ICAL1S6 &3  MIDC1  )","","","","","","","","","","4","0.3","1.2","4.5","33","46","540","1.8","6.8"
"2653","RIVER BHATSA AT D/S OF LIBERTY OIL MILLS, VILLAGE- SATNE, BTAHLAUTKSAA-  SHAHAMPUARH,A DRISATSRHITCRTA- T HANE.","","","19","36","6.9","7.6","7.5","8.9","69","285","1","3.8","0.3","1.02","1.8","17","33","79","1.8","6.8"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2654","RIVER BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPBUHRA, TTSHAA NE.","","MAHARASHTRA","19","36","6.9","7.7","7.2","8.6","68","274","1","3.6","0.3","1.1","1.8","17","17","49","1.8","1.8"
"2670","RIVER KAN AT SAKRI WATER WORKS, VILLAGE. SAKRI, TALUKA. DKHAUNL E, DISTRICMT.A DHHAURLAES.","","HTRA","16","18","4","5.7","8.3","8.6","351","741","3","7.4","0.31","4.35","6","12","63","130","1.8","1.8"
"2671","RIVER KUNDALIKA NEAR SALAV BRIDGE (SALINE ZONE), VILLKAUGNE-DSAALLIAKVA,  TALUKMAA- HRAORHAAS,H DTIRSTAR ICT- RAIGAD.","","","30","34","3.8","7.4","7.6","8.2","1547","52610","3","16","0.43","2.9","1.8","130","49","920","1.8","4.5"
"2672","RIVER KUNDALIKA AT DHATAV AT JACKWELL , VILLAGE. DHATKAUVN,TDAALLUIKKAA . ROHMA, ADHISATRRAICSTH.T RRAAI GAD.","","","29","33","6.9","7.7","7.6","8.2","71","116","1","4","0.3","0.89","1.8","17","22","79","1.8","1.8"
"2676","","RIVER MUCHKUNDI AT WAKED, RATNAGIRI, NEAR M/S ASAHMI UINCDHIKAU GNLDAIS S LTDM., AVHILALRAAGSEH- TWRAAK ED, TALUKA- LA23N JA, DI3S1T RICT6-. 3R ATN7A.8G IRI.","","","","","","6.9","8.3","40","1022","2.8","3.8","0.3","0.68","4","6.1","17","26","1.8","1.8"
"2685","","RIVER PATALGANGA AT D/S OF KHARPADA BRIDGE , VILLAGPEA-T KAHLAGRAPNAGDAA , TALMUAKAH-A KRHAASHLATPRUAR , DISTRICT- RA2IG7A D.","","","27","4.6","7.6","7.1","8","139","8956","2","12","0.3","2.13","1.8","110","34","540","1.8","2"
"2686","RIVER PATALGANGA AT VYAL PUMP HOUSE, VILLAGE. VYALP, ATTAALLUGKAAN. GKAH ALAPMURA,H DAIRSTARSIHCTTR. AR AIGAD.","","","27","28","6.8","7.6","7.2","8","89","204","1","4","0.3","1.2","1.8","22","23","170","1.8","1.8"
"2687","","RIVER PATALGANGA AT KHALAPUR PUMPING STATION, VILPLAATGAEL- GKAHNAGLAAP UR, TMAALHUAKARA- KSHHTARLAA PUR, DISTRICT- 2R7A IGAD2. 8","","","","6.6","7.6","7","7.9","70","245","1","5","0.3","1.39","1.8","33","46","120","1.8","2"
"2688","RIVER PATALGANGA AT SAVROLI BRIDGE, VILLAGE- SAVROLPIA,TTAALLUGKAAN- GKAH ALAPMURA,HDAISRTARSICHTT-R RAA IGAD.","","","27","28","6.7","7.6","7","7.9","69","247","2","5","0.3","1.6","17","110","79","540","1.8","1.8"
"2689","","RIVER PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, VILPLAATGAEL-G KAHNOGPAO LI, TAMLUAKHAA-R KAHSAHLTARPAU R, DISTRICT- RA27IG AD.","","","28","6","7.6","6.8","7.9","49","120","1","7","0.3","0.92","4.5","130","23","350","1.8","14"
"2696","","PEHLAR DAM ON PEHLAR RIVER- INLET OF WATER WORKS, VILLPAEGHEL-A PRE HLAR, TMALAUHKAAR-A VSAHSTARIA, D ISTRICT- PALG2H6A R.","","","32","6.9","7.7","7.5","8.3","118","1523","1","3","0.3","1.57","1.8","49","33","170","1.8","1.8"
"2701","RIVER SAVITRI JACKWELL AT UPSA KENDRE , VILLAGE. NANGALSWAVAIDTRI, IT ALUKA.M MAAHHAARDA,S DHITSRTAR ICT. RAIGAD.","","","27","38","6.5","7.6","7.1","8.5","90","5217","2.8","3","0.32","1.64","4","8.3","17","38","1.8","1.8"
"2702","RIVER SAVITRI AT SHEDAV DOV, VILLAGE. SHEDAV DOV, TALUKSAA.V MITARHI AD, DISMTRAICHTA. RRAASIGHATRDA.","","","27","38","6.1","7.7","7.4","8.5","84","7694","2.6","3","0.32","1.09","5.5","9.1","20","41","1.8","1.8"
"2703","RIVER SAVITRI AT DADLI ROAD BRIDGE, VILLAGE. DADLI, TALUKSAA.V MITARHI AD, DISTMRAICHTA. RRAASIGHATRDA.","","","27","38","5.8","7.6","7.4","8.5","102","32100","2.8","15","0.32","1.2","4.5","13","22","47","1.8","1.8"
"2704","RIVER SAVITRI AT MUTHAVALI VILLAGE, VILLAGE. MUTHAVALSI,A TVAILTURKI A. MAHMADA,H DAIRSTARSIHCTTR. ARA IGAD.","","","27","38","5.5","7.5","7.3","8.5","83","38400","2.8","14","0.32","1.37","4","11","17","43","1.8","1.8"
"2706","RIVER SURYA AT U/S OF SURYA DAM, VILLAGE- DHAMNI, TALUSKUAR- YVAIK RAMGAMD,A DHISATRRAISCHT-T PRAAL GHAR.","","","26","26","6.8","7.6","7.4","8.5","96","139","1","4","0.3","1.12","1.8","26","22","240","1.8","7.8"
"2707","","RIVER SURYA AT MIDC PUMPING STATION ON BOISAR - CHILLASRUPRHYAAT A ROAD,M VAILHLAAGRAE-S HGTARRAV ASHET, TALUKA2-6 P ALGH2A6R , DI6S.T8R ICT7- .P6A KGH7A.6R","","","","","","","8.5","127","210","1","4","0.3","1.13","1.8","22","22","240","1.8","1.8"
"2708","","RIVER SURYA AT INTAKE OF VASAI-VIRAR WATER SCHEME, VILLSAUGREY-A M ASVAN,M TAAHLUAKRAA-S PHATLRGAH AR, DISTRICT- 2P6A LGHA2R6.","","","","5.1","7.6","7.6","8.6","126","230","1","6","0.3","1.13","1.8","46","31","170","1.8","1.8"
"2709","RIVER TANSA NEAR ROAD BRIDGE, VILLAGE- DAKEWALI, TALUKTAA-N WSAA DA, DISTMRIACTH-A PRAALSGHHTARRA.","","","19","27","6.2","7.6","7.3","8.4","71","301","1","6","0.3","0.89","1.8","22","2","170","1.8","7.8"
"2712","RIVER VAITARNA NEAR ROAD BRIDGE, VILLAGE- GANDHARE,V TAAILTUAKRAN-A W ADA, MDIASHTRAIRCAT-S HPATRLGAH AR.","","","19","27","6.9","7.4","7.3","8.5","75","272","1","4","0.3","0.96","1.8","33","1.8","130","1.8","1.8"
"2713","","","RIVER VASHISHTI AT D/S OF THREE M PAPER MILLS NEAR CHIPVLUASNH WISATIT ER INTAMKAEH JAARCAKSWHETLRLA,  VILLAGE- KHER2D8I , TALU3K0 A- CH6.I5P LUN7, .D7 ISTR7IC.1T - RAT8N.1A GIRI.4 8","","","","","","","","103","2.8","3.2","0.58","1.69","5.5","6.1","21","31","1.8","1.8"
"2714","","RIVER VASHISHTI AT U/S OF POPHALI NEAR KONPHANSAWANEV ABSRHIDISGTEI , VILLAGMEA- PHOAPRHAASHLIT, RTAA LUKA- CHIPLUN2, 8D ISTRI3C0T - RAT6N.4A GIR7I..6","","","","","","7","8.2","72","100","2.8","3.4","0.3","2.88","4","9.3","20","27","1.8","1.8"
"1424","RIVER IMPHAL AT MAHABALI","IMPHAL","MANIPUR","20","31.4","7","7.4","7.2","7.4","120","230","3.2","3.4","","","60","80","130","185","",""
"1457","RIVER IMPHAL AT KOIRENGEI","IMPHAL","MANIPUR","20","30.2","7.2","7.5","7.2","7.5","150","220","3","3.2","","","40","60","85","155","",""
"1458","RIVER IRIL AT PORAMPET","IRIL","MANIPUR","19","31.2","7.3","7.5","7.4","7.5","220","330","3.1","3.2","80","80","45","65","80","95","",""
"1624","RIVER IRIL AT LILONG","IRIL","MANIPUR","20","31","7.1","7.4","7.2","7.4","130","290","3.2","3.3","","","55","70","125","175","",""
"1625","RIVER NAMBUL AT HUMP BRIDGE","NAMBUL","MANIPUR","19","31","5.6","7.1","7","7.2","310","730","4.2","4.8","","","180","230","785","1200","",""
