"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1546","RIVER KHANDEPAR AT OPA - PONDA, GOA","KHANDEPAR","GOA","27","30","4.9","8.2","6.41","7.83","78","7043","1","1.9","0.32","0.39","330","4900","700","9400","150","490"
"1547","RIVER TALPONA AT CANACONA, GOA","TALPONA","GOA","28","30","5.1","7.4","6.62","8.84","56","8065","1","1.7","0.32","0.52","680","1700","1100","3300","110","260"
"1548","RIVER ASSONORA AT ASSONORA, GOA","ASSONORA","GOA","27","30","5.7","7","6.16","7.22","45","88","1","1.5","0.32","0.91","230","1700","490","2700","79","260"
"2270","RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WATERKWHAONRDKESP, ASARN GUEGM","","OA","27","30","5.3","8","6.5","7.9","64","6745","1","1.9","0.32","0.42","330","2400","790","9200","130","230"
"2271","RIVER SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO- CSAANLA CONA NAGTIOOAN AL HIGHWAY)","","","27","30","4.5","7.8","6.4","7.83","64","8065","1","3.8","0.32","0.42","490","3300","940","7900","94","490"
"2272","RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEKMU","SHAWATI","GOA","26","30","4.2","7.6","6.23","7.56","42","1877","1","1.9","0.32","0.32","230","2300","330","3300","45","220"
"2273","RIVER SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM","SAL","GOA","27","31","4.1","7","7.25","9.25","21440","62560","1","1.8","0.32","0.79","200","1300","780","4900","110","220"
"2274","RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI","MAPUSA","GOA","28","35","1","7.1","6.42","7.48","63","782","1","4.5","0.32","1.54","1300","3300","3300","7900","140","490"
"2275","RIVER CHAPORA NEAR ALORNA FORT , PERNEM","CHAPORA","GOA","28","32","5.8","7.8","6.29","8.87","51","16460","1","1.8","0.32","4.82","680","2300","1300","3300","140","330"
"2276","RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM","BICHOLIM","GOA","27","32","5.2","8.1","6.18","7.71","42","1326","1","2.7","0.32","0.52","230","4900","330","7900","110","230"
"3176","RIVER SAL AT RUMDER","SAL","GOA","28","29","1.8","6","5.56","7.92","102","17410","1","6.3","0.32","0.94","200","2700","400","4900","140","330"
"3181","RIVER ZUARI AT BORIM BRIDGE","ZUARI","GOA","27","30","4.6","8","6.56","7.6","1427","35350","1.1","1.9","0.32","1.96","400","1300","680","9200","92","790"
"3182","RIVER ZUARI AT MARCAIM JETTY","ZUARI","GOA","27","30","4.5","7.3","6.59","8.25","3844","54510","1","1.8","0.32","2.5","45","2400","78","5400","23","540"
"3183","RIVER SAL AT KHAREBAND, MARGAO","SAL","GOA","27","30","0.4","4.2","6.5","7.76","164","2458","1.2","6","0.32","0.82","3500","14000","7000","28000","460","1700"
"3184","RIVER SAL AT ORLIM BRIDGE, ORLIM","SAL","GOA","28","31","2.3","6.6","6.51","7.79","1173","27890","1","5.6","0.32","1.66","490","2300","790","4900","170","490"
"3185","RIVER MANDOVI AT AMONA BRIDGE","MANDOVI","GOA","28","33","5.5","7.4","6.17","7.48","94","44890","1","1.8","0.32","0.52","78","2300","110","7900","32","460"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3186","RIVER MANDOVI AT IFFI JETTY","MANDOVI","GOA","28","30","4.2","8.1","7.29","8.68","4892","69020","1","1.5","0.32","0.52","78","1400","130","5400","49","110"
"3187","RIVER MANDOVI NEAR HOTEL MARRIOT","MANDOVI","GOA","28","30","4.1","7.7","7.58","8.36","6726","69820","1","1.9","0.32","0.52","68","4600","110","7000","46","330"
"3188","RIVER TIRACOL AT TIRACOL","TIRACOL","GOA","28","30","4.1","8.1","7.36","8.11","1687","55550","1","1.9","0.32","0.32","200","4900","330","7900","93","270"
"3189","RIVER CHAPORA AT SIOLIM","CHAPORA","GOA","28","31","4.7","8.1","7.28","8","128","59260","1","1.9","0.32","1.55","79","1700","170","2600","33","350"
"3190","RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE)","SINQUERIM","GOA","28","32","4.4","6.8","7.1","8.14","15860","59130","1","1.9","0.32","0.93","450","2300","680","4900","110","330"
"3191","RIVER SINQUERIM NEAR NERUL TEMPLE","SINQUERIM","GOA","28","32","4","6.8","7.26","8.23","15770","74550","1","1.8","0.32","0.83","450","3300","940","4900","110","490"
"5101","RIVER MANDOVI UPSTREAM AT M/S VEDANTA PVT. LTD.","MANDOVI","GOA","27","30","5.2","8.1","6.5","7.72","90","37720","1","1.9","0.32","2.86","79","2300","130","4900","17","210"
"5102","RIVER MANDOVI DOWNSTREAM AT M/S VEDANTA PVT. LTD.","MANDOVI","GOA","27","30","5","8.2","6.57","7.78","83","38010","1","1.9","0.32","2.5","78","1300","170","3300","13","200"
"10012","RIVER MANDOVI UPSTREAM AT RIBANDAR-CHODAN FERRY","MANDOVI","GOA","27","35","4.4","8","6.66","7.91","259","64880","1","1.9","0.32","0.98","78","3300","110","7900","49","140"
"1148","RIVER AMBIKA AT BILIMORA","AMBIKA","GUJARAT","28","32","6.7","7.2","7.26","8.43","327","40990","1.1","2.3","0.33","0.38","10","14","31","46","",""
"1149","RIVER KOLAK AT PATALIA BDG.","KOLAK","GUJARAT","26","29","5.8","7","7.25","8.09","408","1808","1","1.4","0.32","0.65","13","58","220","920","",""
"1150","RIVER DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,RDIVAEMR ADNAGMAANNGGAA NGGA UAJTA GRAIDTC  WIER,","","","26","30","6.8","7.2","7.45","8.06","260","359","1","1","0.32","0.63","12","34","150","350","",""
"1246","RIVER DAMANGANGA AT KACHIGAON D\S (DAMAN),RIVERD DAAMMAANNGGAANNGGAA  ATG KUAJCAHRIAGTA ON BRIDGE","","","26","30","5.4","7","7.21","8.03","333","31620","1","1.6","0.32","0.44","17","94","240","1840","",""
"1434","RIVER AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLAEMSHL","AKHADI","GUJARAT","27","33","0.3","6.2","7.21","7.77","960","2090","2.3","22","0.34","4.69","210","1600","490","1600","68","68"
"1435","RIVER KOLAK AT RAILWAY BRIDGE NO. 313 VAPI, VALSAD,","KOLAK","GUJARAT","26","30","5.8","6.9","7.31","8.08","328","63802","1","1.5","0.32","0.54","14","43","110","150","",""
"1436","","","RIVER BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FRBOHMAD JAETRP UR CITYG,URIJVAERRA BT HADAR AT DUBLIPAT N27A TIONA32L  HIGH0.W3 AY,6(I..7E . D/7S. 3JE3T PU8R.2 C4I TY),J3E3T5P UR , 2D8I1S8T :RA1J(.I9D :312281 1)","","","","","","","","","","","0.32","0.41","1.8","70","1.8","170","1.8","1.8"
"1438","RIVER MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,","MINDHOLA","GUJARAT","29","31","5.1","7.9","7.11","8.48","438","1874","1","2.9","0.3","0.32","27","920","170","1600","1.8","220"
"1860","RIVER BALESHWAR KHADI AT N.H. NO. 8","BALESHWAR KHADI","GUJARAT","26","31","5.3","6.9","6.75","8.46","450","1223","1.4","2.7","0.3","0.36","15","1600","43","1600","1.8","350"
"1861","RIVER PURNA ON BRIDGE AT SURAT-NAVSARI HIGHPWURANY","A (GULF OF KHAMBHGAUTJ)","ARAT","27","31","6.9","7.9","6.9","8.48","407","5656","1","1.8","0.32","0.38","33","920","120","1600","",""
"1862","RIVER KAVERI ON BRIDGE AT BILLIMORA-VALSAD ROAD","KAVERI","GUJARAT","28","32","6.6","7.2","7.33","8.48","432","26470","1","2","0.32","0.42","6","17","17","47","",""
"1865","RIVER DHADAR AT KOTHADA","DHADAR","GUJARAT","26","30","0.3","6.7","7.31","8.48","302","1369","1","8","0.58","1.73","1600","1600","1600","1600","1600","1600"
"1980","","RIVER AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUACMHALAT KVHILALDAIG E PUGNUGJAAMRA, TTA : ANKLESHWAR, DIST2 B7H ARU3C5H","","","","0.3","5.8","6.99","8.25","460","2228","1","21","0.32","3.78","93","1600","220","1600","92","92"
"2072","","RIVER BHOGAVO D/S OF SURENDRANAGAR.AT WADHWAN BRBIHDOGGE,A WVOA DHWAGNU, TJAARL.A WT ADHWAN, DIST. SURE2N5D RAN2A9G AR","","","","4.6","6.6","7.22","7.97","625","3738","1.8","5","0.32","0.59","11","46","47","140","",""
"2082","","","RIVER TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVATLR, IDVIESNT.I  JSUANNAGGAAMD H.NGEUAJRA RTARTIV ENI SANGAM GHAT, A2T3:  SOM3N1A TH,6 T.A2 L: V6E.R7A VA7L,. 2D5I ST:7 G.4IR6  SOM4N92A TH.","","","","","","","","16840","1.8","2.3","0.3","0.37","1.8","1.8","1.8","1.8","1.8","1.8"
"3204","","RIVER VISHWAMITRI DOWNSTREAM OF AT KHALIPUR VILLAVGIES,H BWEFAOMRIET RMI EETINGGU JJAARMABTU VA RIVERKHALIPUR B2R6I DGE-V30A DOD0A.3R A","","","","","6.8","7.39","8.48","297","1388","1","8","0.4","2.06","1600","1600","1600","1600","1600","1600"
"3205","","RIVER VISHWAMITRI UPSTREAM AT ASOD BRIDGE AT N.H. 8V ,I SNHEWARA MGLIDTREIN  CHOGKUDJAI, RAASTO D VEMALI ROADVILLA2G6E : ASO2J8","","","","6.6","7.3","7.84","8.29","416","850","1","1","0.32","1.2","4","17","26","130","1.8","1.8"
"30039","","RIVER DAMAN GANGA AT D/S OF GIDC WEIR, NEAR NH-48,D VAAMPIA, NGGUAJANRGAAT  (UTG OUFJ ADRAAMTA N,DIU,DADAR & NAG2A5R  HAV3E0L I AN6D. 5G UJAR8 AT)","","","","","","7.2","8.48","230","300","1","2.6","0.32","1.94","68","7900","170","92000","",""
